
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Initiating NSE at 13:35
Completed NSE at 13:35, 0.00s elapsed
Initiating SYN Stealth Scan at 13:35
Scanning 425 hosts [1 port/host]
Discovered open port 21/tcp on 101.81.255.0[上海市 电信]
Discovered open port 21/tcp on 101.81.220.2[上海市 电信]
Discovered open port 21/tcp on 101.81.231.3[上海市 电信]
Discovered open port 21/tcp on 101.81.141.3[上海市 电信]
Discovered open port 21/tcp on 101.81.12.4[上海市 电信]
Discovered open port 21/tcp on 101.81.141.4[上海市 电信]
Discovered open port 21/tcp on 101.81.181.4[上海市 电信]
Discovered open port 21/tcp on 101.81.33.5[上海市 电信]
Discovered open port 21/tcp on 101.81.110.4[上海市 电信]
Discovered open port 21/tcp on 101.81.94.5[上海市 电信]
Discovered open port 21/tcp on 101.81.93.6[上海市 电信]
Discovered open port 21/tcp on 101.81.251.5[上海市 电信]
Discovered open port 21/tcp on 101.81.32.7[上海市 电信]
Discovered open port 21/tcp on 101.81.41.7[上海市 电信]
Discovered open port 21/tcp on 101.81.223.8[上海市 电信]
Discovered open port 21/tcp on 101.81.237.8[上海市 电信]
Discovered open port 21/tcp on 101.81.236.10[上海市 电信]
Discovered open port 21/tcp on 101.81.141.11[上海市 电信]
Discovered open port 21/tcp on 101.81.162.11[上海市 电信]
Discovered open port 21/tcp on 101.81.12.12[上海市 电信]
Discovered open port 21/tcp on 101.81.164.11[上海市 电信]
Discovered open port 21/tcp on 101.81.88.12[上海市 电信]
Discovered open port 21/tcp on 101.81.104.12[上海市 电信]
Discovered open port 21/tcp on 101.81.149.12[上海市 电信]
Discovered open port 21/tcp on 101.81.223.14[上海市 电信]
Discovered open port 21/tcp on 101.81.191.14[上海市 电信]
Discovered open port 21/tcp on 101.81.107.13[上海市 电信]
Discovered open port 21/tcp on 101.81.217.14[上海市 电信]
Discovered open port 21/tcp on 101.81.95.17[上海市 电信]
Discovered open port 21/tcp on 101.81.122.17[上海市 电信]
Discovered open port 21/tcp on 101.81.138.18[上海市 电信]
Discovered open port 21/tcp on 101.81.60.18[上海市 电信]
Discovered open port 21/tcp on 101.81.140.19[上海市 电信]
Discovered open port 21/tcp on 101.81.51.19[上海市 电信]
Discovered open port 21/tcp on 101.81.220.20[上海市 电信]
Discovered open port 21/tcp on 101.81.231.20[上海市 电信]
Discovered open port 21/tcp on 101.81.145.19[上海市 电信]
Discovered open port 21/tcp on 101.81.11.21[上海市 电信]
Discovered open port 21/tcp on 101.81.252.22[上海市 电信]
Discovered open port 21/tcp on 101.81.105.21[上海市 电信]
Discovered open port 21/tcp on 101.81.205.23[上海市 电信]
Discovered open port 21/tcp on 101.81.112.24[上海市 电信]
Discovered open port 21/tcp on 101.81.48.24[上海市 电信]
Discovered open port 21/tcp on 101.81.116.24[上海市 电信]
Discovered open port 21/tcp on 101.81.148.24[上海市 电信]
Discovered open port 21/tcp on 101.81.160.24[上海市 电信]
Discovered open port 21/tcp on 101.81.236.25[上海市 电信]
Discovered open port 21/tcp on 101.81.230.26[上海市 电信]
Discovered open port 21/tcp on 101.81.119.28[上海市 电信]
Discovered open port 21/tcp on 101.81.86.29[上海市 电信]
Discovered open port 21/tcp on 101.81.82.30[上海市 电信]
Discovered open port 21/tcp on 101.81.91.31[上海市 电信]
Discovered open port 21/tcp on 101.81.106.31[上海市 电信]
Discovered open port 21/tcp on 101.81.251.31[上海市 电信]
Discovered open port 21/tcp on 101.81.146.32[上海市 电信]
Discovered open port 21/tcp on 101.81.210.32[上海市 电信]
Discovered open port 21/tcp on 101.81.243.32[上海市 电信]
Discovered open port 21/tcp on 101.81.105.34[上海市 电信]
Discovered open port 21/tcp on 101.81.162.34[上海市 电信]
Discovered open port 21/tcp on 101.81.109.35[上海市 电信]
Discovered open port 21/tcp on 101.81.126.36[上海市 电信]
Discovered open port 21/tcp on 101.81.126.39[上海市 电信]
Discovered open port 21/tcp on 101.81.190.40[上海市 电信]
Discovered open port 21/tcp on 101.81.225.39[上海市 电信]
Discovered open port 21/tcp on 101.81.234.39[上海市 电信]
Discovered open port 21/tcp on 101.81.55.42[上海市 电信]
Discovered open port 21/tcp on 101.81.204.40[上海市 电信]
Discovered open port 21/tcp on 101.81.171.42[上海市 电信]
Discovered open port 21/tcp on 101.81.63.42[上海市 电信]
Discovered open port 21/tcp on 101.81.231.42[上海市 电信]
Discovered open port 21/tcp on 101.81.186.42[上海市 电信]
Discovered open port 21/tcp on 101.81.165.44[上海市 电信]
Discovered open port 21/tcp on 101.81.190.43[上海市 电信]
Discovered open port 21/tcp on 101.81.219.44[上海市 电信]
Discovered open port 21/tcp on 101.81.111.45[上海市 电信]
Discovered open port 21/tcp on 101.81.140.46[上海市 电信]
Discovered open port 21/tcp on 101.81.151.45[上海市 电信]
Discovered open port 21/tcp on 101.81.208.46[上海市 电信]
Discovered open port 21/tcp on 101.81.14.48[上海市 电信]
Discovered open port 21/tcp on 101.81.237.46[上海市 电信]
Discovered open port 21/tcp on 101.81.193.50[上海市 电信]
Discovered open port 21/tcp on 101.81.84.50[上海市 电信]
Discovered open port 21/tcp on 101.81.248.50[上海市 电信]
Discovered open port 21/tcp on 101.81.235.50[上海市 电信]
Discovered open port 21/tcp on 101.81.12.51[上海市 电信]
Discovered open port 21/tcp on 101.81.36.51[上海市 电信]
Discovered open port 21/tcp on 101.81.50.51[上海市 电信]
